"Visitor arrival totals (Monthly)","","","",""
"","Actual Counts","Seasonally Adjusted","Trend","Counts Derived from a Sample"
"1979M08",29808,"..","..",29808
"1979M09",25232,"..","..",25232
"1979M10",33780,"..","..",33780
"1979M11",43916,"..","..",43916
"1979M12",69576,"..","..",69576
"1980M01",48224,"..","..",48224
"1980M02",51353,"..","..",51353
"1980M03",46784,"..","..",46784
"1980M04",31284,"..","..",31284
"1980M05",26681,"..","..",26681
"1980M06",22817,"..","..",22817
"1980M07",26944,"..","..",26944
"1980M08",32902,"..","..",32902
"1980M09",25567,"..","..",25567
"1980M10",37113,"..","..",37113
"1980M11",44788,"..","..",44788
"1980M12",70706,"..","..",70706
"1981M01",49699,"..","..",49699
"1981M02",48783,"..","..",48783
"1981M03",46172,"..","..",46172
"1981M04",33932,"..","..",33932
"1981M05",29105,"..","..",29105
"1981M06",24159,"..","..",24159
"1981M07",29089,"..","..",29089
"1981M08",33134,"..","..",33134
"1981M09",29011,"..","..",29011
"1981M10",39303,"..","..",39303
"1981M11",44924,"..","..",44924
"1981M12",70726,"..","..",70726
"1982M01",50300,42300,40180,50300
"1982M02",46463,39400,39630,46463
"1982M03",42435,37580,39250,42435
"1982M04",37339,39210,39040,37339
"1982M05",29408,39920,39070,29408
"1982M06",24699,37660,39320,24699
"1982M07",30412,40310,39660,30412
"1982M08",35463,41490,40010,35463
"1982M09",30226,39680,40300,30226
"1982M10",38294,40100,40640,38294
"1982M11",44954,39970,40990,44954
"1982M12",71733,41960,41210,71733
"1983M01",50086,42340,41190,50086
"1983M02",48477,41020,40980,48477
"1983M03",46567,41120,40610,46567
"1983M04",35892,37660,40300,35892
"1983M05",29343,40040,40380,29343
"1983M06",26708,40600,40900,26708
"1983M07",34600,46030,41740,34600
"1983M08",36401,42620,42610,36401
"1983M09",33776,44280,43250,33776
"1983M10",42426,44430,43540,42426
"1983M11",47551,41790,43620,47551
"1983M12",76638,44980,43780,76638
"1984M01",50805,43370,44200,50805
"1984M02",52441,44010,44960,52441
"1984M03",51860,45790,45870,51860
"1984M04",45661,48020,46690,45661
